aid,trattato,w,subclass,campo,g_adopt,non_cs
5052956256,1,1,6666,Computer Science,2019,0
5052957711,1,1,6667,Computer Science,2022,0
5052958340,1,1,6668,Computer Science,2021,0
5052961846,1,1,6669,Computer Science,2022,0
5052971410,0,1,3749,Computer Science,NA,0
5052979305,0,1,10818,Psychology,NA,1
5052984649,1,1,6670,Agricultural and Biological Sciences,2021,1
5052985764,1,1,6671,Computer Science,2021,0
5052986222,0,1,4250,Earth and Planetary Sciences,NA,1
5052993469,1,1,6672,Computer Science,2022,0
5053001881,1,1,6673,Computer Science,2021,0
5053008757,0,1,6251,Engineering,NA,1
5053011888,1,1,6674,Computer Science,2022,0
5053012062,1,1,6675,Computer Science,2022,0
5053012932,1,1,6676,Engineering,2020,1
5053022617,1,1,6677,Computer Science,2021,0
5053023517,1,1,6678,Computer Science,2021,0
5053026785,0,1,14692,Computer Science,NA,0
5053028480,0,1,1140,Decision Sciences,NA,1
5053029381,0,1,13468,Computer Science,NA,0
5053034433,1,1,6679,Computer Science,2020,0
5053035973,0,1,4092,Social Sciences,NA,1
5053040916,0,1,7404,Computer Science,NA,0
5053041826,0,1,4592,Engineering,NA,1
5053042789,0,1,5335,Mathematics,NA,1
5053042878,0,1,13143,Earth and Planetary Sciences,NA,1
5053044511,0,1,6248,Computer Science,NA,0
5053058502,1,1,6680,Computer Science,2021,0
5053060236,0,1,9919,Computer Science,NA,0
5053062264,0,1,6635,Computer Science,NA,0
5053066551,0,1,9683,Engineering,NA,1
5053069251,1,1,6681,Computer Science,2022,0
5053069725,0,1,10031,Engineering,NA,1
5053069938,0,1,14322,Computer Science,NA,0
5053070701,0,1,5861,Computer Science,NA,0
5053072611,0,1,12834,Chemistry,NA,1
5053094006,1,1,6682,Medicine,2022,1
5053102850,1,1,6683,Computer Science,2020,0
5053107465,1,1,6684,"Biochemistry, Genetics and Molecular Biology",2022,1
5053110771,0,1,11615,Computer Science,NA,0
5053112307,1,1,6685,Computer Science,2019,0
5053115163,1,1,6686,Social Sciences,2022,1
5053123664,1,1,6687,Computer Science,2022,0
5053127885,1,1,6688,Medicine,2019,1
5053129469,0,1,12392,Engineering,NA,1
5053130424,0,1,3628,Engineering,NA,1
5053137953,1,1,6689,Health Professions,2021,1
5053140585,0,1,668,Earth and Planetary Sciences,NA,1
5053145694,1,1,6690,Computer Science,2019,0
5053156614,0,1,15533,Medicine,NA,1
5053161242,1,1,6691,Medicine,2022,1
5053161455,1,1,6692,Medicine,2020,1
5053163348,0,1,14448,Computer Science,NA,0
5053165370,1,1,6693,Computer Science,2022,0
5053167526,0,1,6888,Computer Science,NA,0
5053171293,0,1,10788,Computer Science,NA,0
5053171877,1,1,6694,Engineering,2020,1
5053178444,1,1,6695,Engineering,2021,1
5053182622,1,1,6696,Earth and Planetary Sciences,2020,1
5053183197,0,1,8916,Computer Science,NA,0
5053183388,0,1,7596,Medicine,NA,1
5053190499,0,1,14854,Engineering,NA,1
5053192946,1,1,6697,Computer Science,2020,0
5053197082,0,1,12533,Engineering,NA,1
5053199843,1,1,6698,Computer Science,2020,0
5053202754,1,1,6699,Medicine,2021,1
5053203917,0,1,3902,Computer Science,NA,0
5053207994,1,1,6700,Agricultural and Biological Sciences,2021,1
5053209283,1,1,6701,Computer Science,2021,0
5053212909,0,1,12821,Engineering,NA,1
5053213047,1,1,6702,Computer Science,2021,0
5053217029,1,1,6703,"Economics, Econometrics and Finance",2020,1
5053217291,1,1,6704,Computer Science,2020,0
5053219121,1,1,6705,Medicine,2022,1
5053222355,1,1,6706,Computer Science,2021,0
5053223081,0,1,9610,Computer Science,NA,0
5053225136,1,1,6707,Computer Science,2022,0
5053230169,1,1,6708,Computer Science,2020,0
5053233227,0,1,8298,Decision Sciences,NA,1
5053235466,1,1,6709,Computer Science,2020,0
5053236545,1,1,6710,Computer Science,2019,0
5053242099,1,1,6711,Computer Science,2020,0
5053242621,1,1,6712,Environmental Science,2019,1
5053243462,0,1,12238,Computer Science,NA,0
5053248335,0,1,2832,Engineering,NA,1
5053249974,0,1,16274,Engineering,NA,1
5053250970,0,1,16087,Computer Science,NA,0
5053257775,0,1,8495,"Biochemistry, Genetics and Molecular Biology",NA,1
5053260282,0,1,6564,Physics and Astronomy,NA,1
5053280611,0,1,13228,Engineering,NA,1
5053290799,1,1,6713,Computer Science,2020,0
5053290964,1,1,6714,Computer Science,2022,0
5053291505,1,1,6715,Computer Science,2022,0
5053293571,0,1,919,Earth and Planetary Sciences,NA,1
5053293606,0,1,15348,Engineering,NA,1
5053298653,0,1,11874,Medicine,NA,1
5053301430,0,1,302,Computer Science,NA,0
5053305605,0,1,12197,Agricultural and Biological Sciences,NA,1
5053305616,0,1,4960,Computer Science,NA,0
5053309084,1,1,6716,Engineering,2020,1
5053309949,0,1,10757,Computer Science,NA,0
5053314319,0,1,14022,Medicine,NA,1
5053320672,0,1,5398,Computer Science,NA,0
5053327738,1,1,6717,Computer Science,2019,0
5053335740,0,1,14765,Environmental Science,NA,1
5053338416,1,1,6718,Computer Science,2021,0
5053338624,0,1,224,Earth and Planetary Sciences,NA,1
5053342250,1,1,6719,Engineering,2022,1
5053343647,0,1,10594,Computer Science,NA,0
5053344554,1,1,6720,Computer Science,2022,0
5053345000,1,1,6721,Computer Science,2020,0
5053347296,1,1,6722,Computer Science,2020,0
5053348602,1,1,6723,Computer Science,2020,0
5053349477,0,1,830,Engineering,NA,1
5053349874,0,1,4755,Engineering,NA,1
5053352592,1,1,6724,"Biochemistry, Genetics and Molecular Biology",2022,1
5053356383,0,1,13916,Computer Science,NA,0
5053357730,0,1,7010,Engineering,NA,1
5053368603,0,1,10474,Earth and Planetary Sciences,NA,1
5053369574,0,1,5278,"Business, Management and Accounting",NA,1
5053369746,0,1,14843,Computer Science,NA,0
5053373401,1,1,6725,Computer Science,2021,0
5053376142,1,1,6726,Computer Science,2021,0
5053378706,1,1,6727,Engineering,2021,1
5053381329,0,1,8921,"Business, Management and Accounting",NA,1
5053383515,0,1,7199,Environmental Science,NA,1
5053383719,1,1,6728,Computer Science,2022,0
5053388507,0,1,7146,Computer Science,NA,0
5053391476,0,1,1355,Computer Science,NA,0
5053400349,0,1,6713,Computer Science,NA,0
5053407313,1,1,6729,Computer Science,2021,0
5053410790,1,1,6730,"Biochemistry, Genetics and Molecular Biology",2022,1
5053417618,0,1,6892,Computer Science,NA,0
5053418697,1,1,6731,Computer Science,2022,0
5053421619,0,1,14276,Computer Science,NA,0
5053431750,1,1,6732,Computer Science,2022,0
5053436168,0,1,12598,Agricultural and Biological Sciences,NA,1
5053436179,1,1,6733,Computer Science,2020,0
5053436721,0,1,10433,Physics and Astronomy,NA,1
5053439159,1,1,6734,Psychology,2022,1
5053444286,0,1,12567,Psychology,NA,1
5053445177,1,1,6735,Engineering,2020,1
5053447215,0,1,4683,Computer Science,NA,0
5053449559,1,1,6736,Computer Science,2022,0
5053450097,0,1,8069,Computer Science,NA,0
5053452597,0,1,2522,Engineering,NA,1
5053465128,1,1,6737,Computer Science,2022,0
5053476055,0,1,2793,Physics and Astronomy,NA,1
5053483373,1,1,6738,Medicine,2021,1
5053490763,0,1,5716,Computer Science,NA,0
5053491182,0,1,11558,Psychology,NA,1
5053495766,1,1,6739,Computer Science,2020,0
5053496442,0,1,16768,Neuroscience,NA,1
5053498662,1,1,6740,Computer Science,2022,0
5053500333,0,1,11605,Computer Science,NA,0
5053505976,0,1,13541,"Business, Management and Accounting",NA,1
5053507972,0,1,11900,Engineering,NA,1
5053512791,1,1,6741,Computer Science,2022,0
5053513943,0,1,9110,Social Sciences,NA,1
5053514094,0,1,8747,Computer Science,NA,0
5053515029,1,1,6742,Computer Science,2022,0
5053522042,0,1,9385,Medicine,NA,1
